lux|0.0|2015-01-02 02:21:07
thermo1|9.25|2015-01-02 02:21:51
thermo2|9.18|2015-01-02 02:22:09
thermo3|8.62|2015-01-02 02:22:21
lux|3.0|2015-01-02 02:31:07
thermo1|6.18|2015-01-02 02:31:51
thermo2|5.37|2015-01-02 02:32:09
thermo3|2.87|2015-01-02 02:32:21
lux|0.0|2015-01-02 02:41:07
thermo1|2.5|2015-01-02 02:41:52
thermo2|3.68|2015-01-02 02:42:10
thermo3|1.62|2015-01-02 02:42:22
lux|1.0|2015-01-02 02:51:08
thermo1|1.68|2015-01-02 02:51:53
thermo2|3.31|2015-01-02 02:52:10
thermo3|0.75|2015-01-02 02:52:23
lux|0.0|2015-01-02 03:01:09
thermo1|1.37|2015-01-02 03:01:53
thermo2|2.87|2015-01-02 03:02:11
thermo3|0.18|2015-01-02 03:02:23
lux|0.0|2015-01-02 03:11:09
thermo1|1.18|2015-01-02 03:11:53
thermo2|2.56|2015-01-02 03:12:11
thermo3|0.31|2015-01-02 03:12:23
lux|0.0|2015-01-02 03:21:09
thermo1|1.0|2015-01-02 03:21:54
thermo2|2.12|2015-01-02 03:22:11
thermo3|0.12|2015-01-02 03:22:24
lux|0.0|2015-01-02 03:31:10
thermo1|0.93|2015-01-02 03:31:54
thermo2|2.0|2015-01-02 03:32:11
thermo3|-0.18|2015-01-02 03:32:24
lux|46.0|2015-01-02 03:41:11
thermo1|0.87|2015-01-02 03:41:55
thermo2|1.93|2015-01-02 03:42:12
thermo3|0.0|2015-01-02 03:42:25
lux|47.0|2015-01-02 03:51:11
thermo1|1.43|2015-01-02 03:51:55
thermo2|3.18|2015-01-02 03:52:12
thermo3|-0.75|2015-01-02 03:52:26
lux|47.0|2015-01-02 04:01:12
thermo1|2.0|2015-01-02 04:01:56
thermo2|3.43|2015-01-02 04:02:13
thermo3|-0.56|2015-01-02 04:02:26
lux|48.0|2015-01-02 04:11:13
thermo1|2.06|2015-01-02 04:11:56
thermo2|3.5|2015-01-02 04:12:13
thermo3|-0.25|2015-01-02 04:12:26
lux|45.0|2015-01-02 04:21:13
thermo1|2.18|2015-01-02 04:21:57
thermo2|3.62|2015-01-02 04:22:14
thermo3|-0.5|2015-01-02 04:22:26
lux|46.0|2015-01-02 04:31:13
thermo1|2.43|2015-01-02 04:31:57
thermo2|3.62|2015-01-02 04:32:14
thermo3|-0.43|2015-01-02 04:32:27
lux|47.0|2015-01-02 04:41:14
thermo1|2.56|2015-01-02 04:41:58
thermo2|3.62|2015-01-02 04:42:14
thermo3|-0.56|2015-01-02 04:42:27
lux|48.0|2015-01-02 04:51:15
thermo1|2.56|2015-01-02 04:51:58
thermo2|3.87|2015-01-02 04:52:14
thermo3|-1.0|2015-01-02 04:52:27
lux|48.0|2015-01-02 05:01:16
thermo1|2.43|2015-01-02 05:01:58
thermo2|3.56|2015-01-02 05:02:14
thermo3|-1.06|2015-01-02 05:02:27
lux|48.0|2015-01-02 05:11:16
thermo1|2.25|2015-01-02 05:11:59
thermo2|3.56|2015-01-02 05:12:15
thermo3|-1.37|2015-01-02 05:12:28
lux|46.0|2015-01-02 05:21:16
thermo1|2.12|2015-01-02 05:21:59
thermo2|3.31|2015-01-02 05:22:15
thermo3|-1.06|2015-01-02 05:22:28
lux|48.0|2015-01-02 05:31:17
thermo1|2.12|2015-01-02 05:31:59
thermo2|3.18|2015-01-02 05:32:15
thermo3|-0.87|2015-01-02 05:32:29
lux|45.0|2015-01-02 05:41:17
thermo1|2.12|2015-01-02 05:41:59
thermo2|3.56|2015-01-02 05:42:15
thermo3|-1.25|2015-01-02 05:42:29
lux|47.0|2015-01-02 05:51:18
thermo1|2.0|2015-01-02 05:51:59
thermo2|3.18|2015-01-02 05:52:15
thermo3|-1.37|2015-01-02 05:52:29
lux|49.0|2015-01-02 06:01:19
thermo1|1.87|2015-01-02 06:02:00
thermo2|3.0|2015-01-02 06:02:15
thermo3|-1.56|2015-01-02 06:02:29
lux|56.0|2015-01-02 06:11:20
thermo1|1.68|2015-01-02 06:12:00
thermo2|3.0|2015-01-02 06:12:16
thermo3|-2.06|2015-01-02 06:12:30
lux|48.0|2015-01-02 06:21:20
thermo1|1.43|2015-01-02 06:22:01
thermo2|2.75|2015-01-02 06:22:16
thermo3|-2.0|2015-01-02 06:22:30
lux|49.0|2015-01-02 06:31:20
thermo1|1.37|2015-01-02 06:32:01
thermo2|2.68|2015-01-02 06:32:16
thermo3|-1.68|2015-01-02 06:32:31
lux|46.0|2015-01-02 06:41:21
thermo1|1.31|2015-01-02 06:42:02
thermo2|2.56|2015-01-02 06:42:17
thermo3|-1.81|2015-01-02 06:42:31
lux|47.0|2015-01-02 06:51:21
thermo1|1.12|2015-01-02 06:52:02
thermo2|2.93|2015-01-02 06:52:18
thermo3|-1.87|2015-01-02 06:52:31
lux|49.0|2015-01-02 07:01:21
thermo1|1.18|2015-01-02 07:02:02
thermo2|2.43|2015-01-02 07:02:19
thermo3|-2.25|2015-01-02 07:02:32
lux|45.0|2015-01-02 07:11:22
thermo1|1.12|2015-01-02 07:12:03
thermo2|2.5|2015-01-02 07:12:19
thermo3|-2.43|2015-01-02 07:12:32
lux|48.0|2015-01-02 07:21:22
thermo1|1.0|2015-01-02 07:22:03
thermo2|2.18|2015-01-02 07:22:19
thermo3|-2.43|2015-01-02 07:22:33
lux|48.0|2015-01-02 07:31:22
thermo1|0.93|2015-01-02 07:32:03
thermo2|2.25|2015-01-02 07:32:20
thermo3|-2.37|2015-01-02 07:32:33
lux|49.0|2015-01-02 07:41:23
thermo1|0.87|2015-01-02 07:42:04
thermo2|2.06|2015-01-02 07:42:20
thermo3|-2.25|2015-01-02 07:42:34
lux|47.0|2015-01-02 07:51:23
thermo1|0.87|2015-01-02 07:52:05
thermo2|2.06|2015-01-02 07:52:21
thermo3|-2.37|2015-01-02 07:52:34
lux|47.0|2015-01-02 08:01:24
thermo1|0.81|2015-01-02 08:02:05
thermo2|2.06|2015-01-02 08:02:22
thermo3|-2.5|2015-01-02 08:02:35
lux|45.0|2015-01-02 08:11:25
thermo1|0.81|2015-01-02 08:12:06
thermo2|2.06|2015-01-02 08:12:22
thermo3|-2.75|2015-01-02 08:12:35
lux|50.0|2015-01-02 08:21:25
thermo1|0.68|2015-01-02 08:22:06
thermo2|2.37|2015-01-02 08:22:22
thermo3|-2.68|2015-01-02 08:22:36
lux|46.0|2015-01-02 08:31:25
thermo1|0.75|2015-01-02 08:32:07
thermo2|1.81|2015-01-02 08:32:23
thermo3|-2.93|2015-01-02 08:32:36
lux|44.0|2015-01-02 08:41:26
thermo1|0.68|2015-01-02 08:42:07
thermo2|1.93|2015-01-02 08:42:23
thermo3|-3.12|2015-01-02 08:42:37
lux|49.0|2015-01-02 08:51:26
thermo1|0.5|2015-01-02 08:52:07
thermo2|1.87|2015-01-02 08:52:23
thermo3|-3.06|2015-01-02 08:52:37
lux|46.0|2015-01-02 09:01:26
thermo1|0.43|2015-01-02 09:02:07
thermo2|1.75|2015-01-02 09:02:23
thermo3|-3.0|2015-01-02 09:02:38
lux|49.0|2015-01-02 09:11:27
thermo1|0.37|2015-01-02 09:12:08
thermo2|1.56|2015-01-02 09:12:24
thermo3|-3.12|2015-01-02 09:12:38
lux|51.0|2015-01-02 09:21:27
thermo1|0.25|2015-01-02 09:22:08
thermo2|1.56|2015-01-02 09:22:25
thermo3|-3.37|2015-01-02 09:22:38
lux|48.0|2015-01-02 09:31:27
thermo1|0.12|2015-01-02 09:32:08
thermo2|1.43|2015-01-02 09:32:25
thermo3|-3.5|2015-01-02 09:32:39
lux|46.0|2015-01-02 09:41:28
thermo1|0.06|2015-01-02 09:42:09
thermo2|1.43|2015-01-02 09:42:26
thermo3|-3.68|2015-01-02 09:42:39
lux|45.0|2015-01-02 09:51:28
thermo1|0.06|2015-01-02 09:52:09
thermo2|1.25|2015-01-02 09:52:27
thermo3|-3.0|2015-01-02 09:52:39
lux|50.0|2015-01-02 10:01:29
thermo1|0.0|2015-01-02 10:02:09
thermo2|1.37|2015-01-02 10:02:27
thermo3|-3.68|2015-01-02 10:02:39
lux|46.0|2015-01-02 10:11:29
thermo1|-0.06|2015-01-02 10:12:10
thermo2|1.12|2015-01-02 10:12:28
thermo3|-3.31|2015-01-02 10:12:40
lux|48.0|2015-01-02 10:21:29
thermo1|-0.06|2015-01-02 10:22:10
thermo2|1.43|2015-01-02 10:22:29
thermo3|-3.31|2015-01-02 10:22:40
lux|47.0|2015-01-02 10:31:30
thermo1|-0.18|2015-01-02 10:32:10
thermo2|1.43|2015-01-02 10:32:29
thermo3|-3.68|2015-01-02 10:32:40
lux|47.0|2015-01-02 10:41:30
thermo1|-0.12|2015-01-02 10:42:11
thermo2|1.18|2015-01-02 10:42:30
thermo3|-3.68|2015-01-02 10:42:41
lux|47.0|2015-01-02 10:51:30
thermo1|-0.12|2015-01-02 10:52:12
thermo2|1.0|2015-01-02 10:52:31
thermo3|-3.75|2015-01-02 10:52:41
lux|43.0|2015-01-02 11:01:31
thermo1|-0.18|2015-01-02 11:02:12
thermo2|0.93|2015-01-02 11:02:31
thermo3|-3.81|2015-01-02 11:02:41
lux|47.0|2015-01-02 11:11:31
thermo1|-0.25|2015-01-02 11:12:12
thermo2|1.0|2015-01-02 11:12:32
thermo3|-3.87|2015-01-02 11:12:41
lux|43.0|2015-01-02 11:21:31
thermo1|-0.37|2015-01-02 11:22:12
thermo2|1.18|2015-01-02 11:22:32
thermo3|-3.68|2015-01-02 11:22:42
lux|46.0|2015-01-02 11:31:31
thermo1|-0.37|2015-01-02 11:32:12
thermo2|0.93|2015-01-02 11:32:33
thermo3|-4.0|2015-01-02 11:32:42
lux|48.0|2015-01-02 11:41:32
thermo1|-0.37|2015-01-02 11:42:13
thermo2|1.0|2015-01-02 11:42:33
thermo3|-3.25|2015-01-02 11:42:42
lux|48.0|2015-01-02 11:51:32
thermo1|-0.5|2015-01-02 11:52:14
thermo2|0.5|2015-01-02 11:52:33
thermo3|-3.87|2015-01-02 11:52:43
lux|50.0|2015-01-02 12:01:32
thermo1|-0.43|2015-01-02 12:02:14
thermo2|0.25|2015-01-02 12:02:34
thermo3|-3.81|2015-01-02 12:02:43
lux|45.0|2015-01-02 12:11:33
thermo1|-0.43|2015-01-02 12:12:14
thermo2|0.62|2015-01-02 12:12:34
thermo3|-3.75|2015-01-02 12:12:43
lux|44.0|2015-01-02 12:21:33
thermo1|-0.5|2015-01-02 12:22:15
